block,experiment_id,stage,system,input,model_or_backbone,classifier_or_reporter,train_usage,val_usage,primary_metric,secondary_metrics,expected_artifacts,priority
protocol,protocol_overlap_audit,stage5,train_val_audit,train_jsonl+val_jsonl,none,none,read_only,read_only,overlap_count,class_distribution,reports/next_research/protocol,required
non_vlm,nv_dinov2_logreg,stage5_non_vlm,crop_feature_classifier,gt_or_pred_crops,facebook/dinov2-base,LogisticRegression train-CV,train-CV classifier,final_eval,macro_f1,accuracy recall confusion,reports/next_research/non_vlm_baselines,required
non_vlm,nv_dinov2_svm,stage5_non_vlm,crop_feature_classifier,gt_or_pred_crops,facebook/dinov2-base,SVM train-CV,train-CV classifier,final_eval,macro_f1,accuracy recall confusion,reports/next_research/non_vlm_baselines,required
non_vlm,nv_clip_b32_logreg,stage5_non_vlm,crop_feature_classifier,gt_or_pred_crops,openai/clip-vit-base-patch32,LogisticRegression train-CV,train-CV classifier,final_eval,macro_f1,accuracy recall confusion,reports/next_research/non_vlm_baselines,required
non_vlm,nv_clip_l14_logreg,stage5_non_vlm,crop_feature_classifier,gt_or_pred_crops,openai/clip-vit-large-patch14,LogisticRegression train-CV,train-CV classifier,final_eval,macro_f1,accuracy recall confusion,reports/next_research/non_vlm_baselines,desired
non_vlm,nv_siglip_logreg,stage5_non_vlm,crop_feature_classifier,gt_or_pred_crops,google/siglip-base-patch16-224,LogisticRegression train-CV,train-CV classifier,final_eval,macro_f1,accuracy recall confusion,reports/next_research/non_vlm_baselines,desired
non_vlm,nv_timm_resnet50_logreg,stage5_non_vlm,crop_feature_classifier,gt_or_pred_crops,timm/resnet50.a1_in1k,LogisticRegression train-CV,train-CV classifier,final_eval,macro_f1,accuracy recall confusion,reports/next_research/non_vlm_baselines,required_if_download_works
non_vlm,nv_timm_convnext_logreg,stage5_non_vlm,crop_feature_classifier,gt_or_pred_crops,timm/convnext_tiny.fb_in1k,LogisticRegression train-CV,train-CV classifier,final_eval,macro_f1,accuracy recall confusion,reports/next_research/non_vlm_baselines,optional
structured_json,json_eval_qwen_stage4,stage5_json_eval,structured_output_eval,qwen_predictions_jsonl,Qwen2.5-VL-3B,existing reporter output,none,read_only,json_schema_validity,class accuracy tag jaccard manual scores,reports/next_research/structured_output_eval,required
structured_json,json_eval_hybrid_champion,stage5_json_eval,structured_output_eval,hybrid_predictions_jsonl,DINOv2+Qwen,existing hybrid output,none,read_only,json_schema_validity,class accuracy tag jaccard manual scores,reports/next_research/structured_output_eval,required
benefit,vlm_vs_non_vlm_report,stage5_report,comparative_report,all_results,all,report builder,none,read_only,argument_completeness,accuracy table structured table,reports/next_research/vlm_benefit,required
accuracy,flashover_binary_ablation,stage5_ablation,binary_error_analysis,train_val_crops,DINOv2/CLIP,LogReg/SVM threshold policy,train-CV,final_eval,normal_flashover_f1,coverage risk confusion,reports/next_research/accuracy_ablation,desired
accuracy,confidence_review_policy,stage5_ablation,review_policy,hybrid_predictions,DINOv2+Qwen,confidence threshold from train-CV,train-CV,final_eval,coverage_risk,accuracy at coverage review rate,reports/next_research/accuracy_ablation,desired
