C,policy,threshold,accuracy,macro_f1
0.003,hard,,0.580952380952381,0.5125753660637381
0.003,second_best,0.3,0.580952380952381,0.5125753660637381
0.003,second_best,0.32,0.580952380952381,0.5125753660637381
0.003,second_best,0.33,0.580952380952381,0.5125753660637381
0.003,second_best,0.34,0.6190476190476191,0.3745983426348723
0.003,second_best,0.35,0.6190476190476191,0.3745983426348723
0.003,second_best,0.36,0.6190476190476191,0.3745983426348723
0.003,second_best,0.38,0.6190476190476191,0.3745983426348723
0.003,second_best,0.4,0.6190476190476191,0.3745983426348723
0.003,second_best,0.45,0.6190476190476191,0.3745983426348723
0.003,second_best,0.5,0.6190476190476191,0.3745983426348723
0.01,hard,,0.580952380952381,0.5107644642528363
0.01,second_best,0.3,0.580952380952381,0.5107644642528363
0.01,second_best,0.32,0.580952380952381,0.5107644642528363
0.01,second_best,0.33,0.580952380952381,0.5107644642528363
0.01,second_best,0.34,0.6095238095238096,0.5083641588753288
0.01,second_best,0.35,0.6190476190476191,0.37521927009797634
0.01,second_best,0.36,0.6190476190476191,0.37521927009797634
0.01,second_best,0.38,0.6190476190476191,0.37521927009797634
0.01,second_best,0.4,0.6190476190476191,0.37521927009797634
0.01,second_best,0.45,0.6190476190476191,0.37521927009797634
0.01,second_best,0.5,0.6190476190476191,0.37521927009797634
0.03,hard,,0.5904761904761905,0.516962400683331
0.03,second_best,0.3,0.5904761904761905,0.516962400683331
0.03,second_best,0.32,0.5904761904761905,0.516962400683331
0.03,second_best,0.33,0.5904761904761905,0.516962400683331
0.03,second_best,0.34,0.6095238095238096,0.5234428223844282
0.03,second_best,0.35,0.638095238095238,0.5624769201336518
0.03,second_best,0.36,0.6095238095238096,0.42119454619454616
0.03,second_best,0.38,0.6285714285714286,0.3804573804573805
0.03,second_best,0.4,0.6285714285714286,0.3804573804573805
0.03,second_best,0.45,0.6285714285714286,0.3804573804573805
0.03,second_best,0.5,0.6285714285714286,0.3804573804573805
0.1,hard,,0.638095238095238,0.5557158890492223
0.1,second_best,0.3,0.638095238095238,0.5557158890492223
0.1,second_best,0.32,0.638095238095238,0.5557158890492223
0.1,second_best,0.33,0.638095238095238,0.5557158890492223
0.1,second_best,0.34,0.638095238095238,0.5584445879988515
0.1,second_best,0.35,0.638095238095238,0.5562987736900781
0.1,second_best,0.36,0.6476190476190476,0.5633760627285141
0.1,second_best,0.38,0.6476190476190476,0.5494004214411766
0.1,second_best,0.4,0.638095238095238,0.47608486316901194
0.1,second_best,0.45,0.6476190476190476,0.39111111111111113
0.1,second_best,0.5,0.6476190476190476,0.39111111111111113
0.3,hard,,0.6666666666666666,0.5796683352527775
0.3,second_best,0.3,0.6666666666666666,0.5796683352527775
0.3,second_best,0.32,0.6666666666666666,0.5796683352527775
0.3,second_best,0.33,0.6666666666666666,0.5796683352527775
0.3,second_best,0.34,0.6666666666666666,0.5796683352527775
0.3,second_best,0.35,0.6761904761904762,0.5890741065684039
0.3,second_best,0.36,0.6761904761904762,0.5904761904761905
0.3,second_best,0.38,0.6761904761904762,0.5818384514036689
0.3,second_best,0.4,0.6761904761904762,0.5818384514036689
0.3,second_best,0.45,0.6761904761904762,0.5533496569827719
0.3,second_best,0.5,0.6666666666666666,0.49332425509840155
1.0,hard,,0.7142857142857143,0.6338661338661339
1.0,second_best,0.3,0.7142857142857143,0.6338661338661339
1.0,second_best,0.32,0.7142857142857143,0.6338661338661339
1.0,second_best,0.33,0.7142857142857143,0.6338661338661339
1.0,second_best,0.34,0.7142857142857143,0.6338661338661339
1.0,second_best,0.35,0.7142857142857143,0.6338661338661339
1.0,second_best,0.36,0.7142857142857143,0.6338661338661339
1.0,second_best,0.38,0.7238095238095238,0.6365858798735511
1.0,second_best,0.4,0.7142857142857143,0.6158642944357231
1.0,second_best,0.45,0.7047619047619048,0.5792429792429793
1.0,second_best,0.5,0.7142857142857143,0.5947542697804112
