policy,correct,acc,macro3,recall_insulator_ok,recall_defect_flashover,recall_defect_broken,pred_flash,pred_ok,pred_broken
qwen_ok_veto_flash_lt_0.34,29,0.5,0.47157102157102154,0.21875,0.95,0.5,43,8,7
flash_conf_ge_0.34_else_qwen,29,0.5,0.46382488479262673,0.21875,0.95,0.5,42,8,8
qwen_ok_veto_flash_lt_0.38,28,0.4827586206896552,0.4773681664247702,0.40625,0.6,0.5,30,21,7
qwen_ok_veto_flash_lt_0.40,28,0.4827586206896552,0.4773681664247702,0.40625,0.6,0.5,30,21,7
qwen_ok_veto_flash_lt_0.45,28,0.4827586206896552,0.4773681664247702,0.40625,0.6,0.5,30,21,7
qwen_ok_veto_flash_lt_0.50,28,0.4827586206896552,0.4773681664247702,0.40625,0.6,0.5,30,21,7
dinov2_hard,28,0.4827586206896552,0.4543269230769231,0.1875,0.95,0.5,44,7,7
any_conf_ge_0.30,28,0.4827586206896552,0.4543269230769231,0.1875,0.95,0.5,44,7,7
any_conf_ge_0.32,28,0.4827586206896552,0.4543269230769231,0.1875,0.95,0.5,44,7,7
any_conf_ge_0.33,28,0.4827586206896552,0.4543269230769231,0.1875,0.95,0.5,44,7,7
flash_conf_ge_0.33_else_qwen,28,0.4827586206896552,0.4543269230769231,0.1875,0.95,0.5,44,7,7
any_conf_ge_0.34,28,0.4827586206896552,0.44669365721997306,0.15625,1.0,0.5,45,6,7
qwen_ok_veto_flash_lt_0.35,27,0.46551724137931033,0.4558492355102525,0.25,0.8,0.5,39,12,7
qwen_ok_veto_flash_lt_0.36,27,0.46551724137931033,0.4558492355102525,0.25,0.8,0.5,39,12,7
flash_conf_ge_0.35_else_qwen,27,0.46551724137931033,0.44502164502164504,0.25,0.8,0.5,36,12,9
flash_conf_ge_0.36_else_qwen,26,0.4482758620689655,0.42803030303030304,0.25,0.75,0.5,35,12,10
flash_conf_ge_0.38_else_qwen,25,0.43103448275862066,0.411642313330496,0.40625,0.45,0.5,22,21,13
flash_conf_ge_0.40_else_qwen,25,0.43103448275862066,0.411642313330496,0.40625,0.45,0.5,22,21,13
flash_conf_ge_0.45_else_qwen,25,0.43103448275862066,0.411642313330496,0.40625,0.45,0.5,22,21,13
flash_conf_ge_0.50_else_qwen,25,0.43103448275862066,0.411642313330496,0.40625,0.45,0.5,22,21,13
any_conf_ge_0.35,25,0.43103448275862066,0.3944644364476431,0.1875,0.85,0.3333333333333333,41,9,6
any_conf_ge_0.36,24,0.41379310344827586,0.3779028559516364,0.1875,0.8,0.3333333333333333,40,9,7
qwen_baseline_joined,23,0.39655172413793105,0.3718439716312057,0.34375,0.5,0.3333333333333333,27,18,10
any_conf_ge_0.38,23,0.39655172413793105,0.3718439716312057,0.34375,0.5,0.3333333333333333,27,18,10
any_conf_ge_0.40,23,0.39655172413793105,0.3718439716312057,0.34375,0.5,0.3333333333333333,27,18,10
any_conf_ge_0.45,23,0.39655172413793105,0.3718439716312057,0.34375,0.5,0.3333333333333333,27,18,10
any_conf_ge_0.50,23,0.39655172413793105,0.3718439716312057,0.34375,0.5,0.3333333333333333,27,18,10
