policy,threshold,accuracy,macro_f1
hard_train_oof,,0.5904761904761905,0.516962400683331
flash_lowconf_second_best,0.3,0.5904761904761905,0.516962400683331
flash_lowconf_second_best,0.32,0.5904761904761905,0.516962400683331
flash_lowconf_second_best,0.33,0.5904761904761905,0.516962400683331
flash_lowconf_second_best,0.34,0.6095238095238096,0.5234428223844282
flash_lowconf_second_best,0.35,0.638095238095238,0.5624769201336518
flash_lowconf_second_best,0.36,0.6095238095238096,0.42119454619454616
flash_lowconf_second_best,0.38,0.6285714285714286,0.3804573804573805
flash_lowconf_second_best,0.4,0.6285714285714286,0.3804573804573805
flash_lowconf_second_best,0.45,0.6285714285714286,0.3804573804573805
flash_lowconf_second_best,0.5,0.6285714285714286,0.3804573804573805
