record_id,gt,pred_3b,pred_7b,pred_q3_4b,correct_3b,correct_7b,correct_q3_4b
train_img1_ann1,defect_broken,defect_flashover,unknown,unknown,False,False,False
train_img1_ann2,defect_broken,defect_flashover,insulator_ok,insulator_ok,False,False,False
train_img1_ann3,insulator_ok,defect_broken,insulator_ok,insulator_ok,False,True,True
train_img1_ann5,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
train_img3_ann16,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
train_img3_ann17,defect_broken,defect_broken,insulator_ok,insulator_ok,True,False,False
train_img3_ann18,defect_broken,defect_broken,insulator_ok,insulator_ok,True,False,False
train_img3_ann19,defect_broken,defect_flashover,insulator_ok,defect_broken,False,False,True
train_img3_ann20,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
train_img5_ann46,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
train_img5_ann47,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
train_img5_ann48,defect_flashover,unknown,insulator_ok,insulator_ok,False,False,False
train_img5_ann50,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
val_img10_ann1040,defect_flashover,defect_flashover,defect_broken,unknown,True,False,False
val_img10_ann1041,defect_flashover,defect_flashover,unknown,insulator_ok,True,False,False
val_img10_ann1043,insulator_ok,defect_flashover,unknown,unknown,False,False,False
val_img10_ann1044,insulator_ok,defect_flashover,unknown,unknown,False,False,False
val_img17_ann1048,insulator_ok,defect_broken,insulator_ok,insulator_ok,False,True,True
val_img17_ann1049,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
val_img17_ann1050,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
val_img17_ann1051,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
val_img17_ann1053,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
val_img17_ann1054,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
val_img17_ann1056,defect_flashover,defect_flashover,insulator_ok,unknown,True,False,False
val_img17_ann1058,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
val_img31_ann1060,insulator_ok,unknown,insulator_ok,insulator_ok,False,True,True
val_img31_ann1061,defect_broken,defect_broken,insulator_ok,defect_broken,True,False,True
val_img31_ann1062,insulator_ok,defect_broken,insulator_ok,insulator_ok,False,True,True
val_img31_ann1064,insulator_ok,unknown,insulator_ok,insulator_ok,False,True,True
val_img33_ann1066,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
val_img33_ann1067,insulator_ok,defect_broken,insulator_ok,insulator_ok,False,True,True
val_img33_ann1068,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
val_img33_ann1069,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
val_img33_ann1070,defect_flashover,defect_flashover,insulator_ok,defect_flashover,True,False,True
val_img33_ann1071,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
val_img33_ann1072,defect_flashover,defect_flashover,insulator_ok,insulator_ok,True,False,False
val_img33_ann1073,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
val_img33_ann1074,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
val_img33_ann1075,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
val_img33_ann1076,insulator_ok,defect_flashover,insulator_ok,insulator_ok,False,True,True
val_img9_ann1037,insulator_ok,defect_flashover,insulator_ok,unknown,False,True,False
